City/Town,Country/Territory,Continent,Notes
Abidjan (former capital; still hosts some government offices),Ivory Coast (Côte d'Ivoire),Africa,Abidjan is the largest city in Ivory Coast and is officially designated as the economic capital.
Yamoussoukro (de jure),Ivory Coast (Côte d'Ivoire),Africa,Abidjan is the largest city in Ivory Coast and is officially designated as the economic capital.
Abu Dhabi,United Arab Emirates,Asia,
Abuja,Nigeria,Africa,Lagos was the capital from 1914 to 1991.
Accra,Ghana,Africa,
Adamstown,Pitcairn Islands,Oceania,British Overseas Territory.
Addis Ababa,Ethiopia,Africa,
"Aden (de facto, temporary)",Yemen,Asia,"Yemen is in a state of civil war, and Sanaa has been occupied by Houthi rebels since September 2014. Aden, the former capital of South Yemen, is Yemen's acting capital."
Sanaa (de jure),Yemen,Asia,"Yemen is in a state of civil war, and Sanaa has been occupied by Houthi rebels since September 2014. Aden, the former capital of South Yemen, is Yemen's acting capital."
Episkopi Cantonment,Akrotiri and Dhekelia,Asia,British Overseas Territory.
Algiers,Algeria,Africa,
Alofi,Niue,Oceania,Self-governing in free association with New Zealand. Government offices are spread across both Alofi North and Alofi South.
Amman,Jordan,Asia,
Amsterdam (official),Netherlands,Europe,"The Hague hosts the monarch, government ministries, judiciary and diplomatic missions. See also Capital of the Netherlands."
The Hague (de facto),Netherlands,Europe,"The Hague hosts the monarch, government ministries, judiciary and diplomatic missions. See also Capital of the Netherlands."
Andorra la Vella,Andorra,Europe,
Ankara,Turkey,Asia,"Ankara became capital of the newly-formed Republic of Turkey in 1923, after the Turkish War of Independence. The capital of Turkey's predecessor, the Ottoman Empire, was Constantinople."
Antananarivo,Madagascar,Africa,
Apia,Samoa,Oceania,
Ashgabat,Turkmenistan,Asia,
Asmara,Eritrea,Africa,
Astana,Kazakhstan,Asia,Astana was named Nur-Sultan from 2019 to 2022. Almaty was the capital of Kazakhstan from 1991 to 1997 and its predecessor the Kazakh SSR from 1929 to 1991.
Asunción,Paraguay,South America,
Atafu (atoll administration),Tokelau,Oceania,Most populous city and smallest atoll. New Zealand owns Tokelau.
Nukunonu (atoll administration),Tokelau,Oceania,Largest atoll. the population of people living there is 531.
Fakaofo (atoll administration),Tokelau,Oceania,"Most populous city in this atoll is Fale, Tokelau"
Athens,Greece,Europe,
Avarua,Cook Islands,Oceania,"Self-governing in free association with New Zealand. The capital is sometimes incorrectly stated as Rarotonga, the island on which Avarua is located."
Baghdad,Iraq,Asia,
Baku,Azerbaijan,Asia/Europe,
Bamako,Mali,Africa,
Bandar Seri Begawan,Brunei,Asia,
Bangkok,Thailand,Asia,
Bangui,Central African Republic,Africa,
Banjul,Gambia,Africa,
Basseterre,Saint Kitts and Nevis,North America,
Beijing,China,Asia,See also: Historical capitals of China.
Beirut,Lebanon,Asia,
Belgrade,Serbia,Europe,
Belmopan,Belize,North America,"Belize City was the capital of Belize's predecessor, British Honduras."
Berlin,Germany,Europe,"Bonn was the capital of West Germany and remained the seat of government for reunified Germany until 1999, and is still the primary seat of six ministries. See also Capital of Germany."
Bern (de facto),Switzerland,Europe,
Bishkek,Kyrgyzstan,Asia,
Bissau,Guinea-Bissau,Africa,
Bloemfontein (judicial),South Africa,Africa,
Cape Town (legislative),South Africa,Africa,
Pretoria (executive),South Africa,Africa,
Bogotá,Colombia,South America,
Brades (de facto),Montserrat,North America,"British Overseas Territory. Plymouth was abandoned after the Soufrière Hills volcano erupted in 1997. Since then, government offices have been moved to Brades, which is in northwestern Montserrat. A new capital, Little Bay, is currently under construction."
Plymouth (de jure),Montserrat,North America,"British Overseas Territory. Plymouth was abandoned after the Soufrière Hills volcano erupted in 1997. Since then, government offices have been moved to Brades, which is in northwestern Montserrat. A new capital, Little Bay, is currently under construction."
Brasília,Brazil,South America,Rio de Janeiro was the capital until 1960. See also: Capitals of Brazil.
Bratislava,Slovakia,Europe,
Brazzaville,Congo,Africa,
Bridgetown,Barbados,North America,
Brussels,Belgium,Europe,Brussels also serves as de facto capital of the European Union.[1]
Brussels,European Union (de facto),Europe,Brussels also serves as de facto capital of the European Union.[1]
Bucharest,Romania,Europe,
Budapest,Hungary,Europe,See also: List of historical capitals of Hungary.
Buenos Aires,Argentina,South America,
Cairo,Egypt,Africa,A new capital is being built at the New Administrative Capital. It might be named Egypt. See also: List of historical capitals of Egypt.
Canberra,Australia,Oceania,"Planned city built to mitigate the rivalry between Melbourne (de facto capital at the time) and Sydney (economic capital and most populous city), both of which were put forward as potential capitals in the Australasia Federation Conventions of the 1890s. Section 125 of the Constitution gives basic details about the location of the capital, size of the encompassing territory and so forth, while the Seat of Government Act 1908 specified its precise location."
Caracas,Venezuela,South America,
Castries,Saint Lucia,North America,
Charlotte Amalie,United States Virgin Islands,North America,Territory of the United States.
Chișinău,Moldova,Europe,
Cockburn Town,Turks and Caicos Islands,North America,British Overseas Territory.
"Colombo (executive, judicial)",Sri Lanka,Asia,"Until 1982, the capital was Colombo, where many governmental institutions remain; it is still designated as the commercial capital of Sri Lanka. See also: Capital of Sri Lanka."
Sri Jayawardenepura Kotte (official),Sri Lanka,Asia,"Also known as Kotte, the city is a suburb of Colombo."
Conakry,Guinea,Africa,
Copenhagen,Denmark,Europe,
Cotonou (de facto),Benin,Africa,
Porto-Novo (official),Benin,Africa,
Dakar,Senegal,Africa,
Damascus,Syria,Asia,
Dhaka,Bangladesh,Asia,
Dili,East Timor,Asia,
Djibouti,Djibouti,Africa,
Dodoma,Tanzania,Africa,"Dar es Salaam, the former capital and largest city, still hosts some government ministries, the judiciary, and diplomatic missions."
Doha,Qatar,Asia,
Douglas,Isle of Man,Europe,British Crown Dependency.
Dublin,Ireland,Europe,
Dushanbe,Tajikistan,Asia,
Edinburgh of the Seven Seas,Tristan da Cunha,,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
Flying Fish Cove,Christmas Island,,External territory of Australia.
Freetown,Sierra Leone,Africa,
Funafuti,Tuvalu,Oceania,
Gaborone,Botswana,Africa,
George Town,Cayman Islands,North America,British Overseas Territory.
Georgetown,Ascension Island,,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
Georgetown,Guyana,South America,
Gibraltar,Gibraltar,Europe,British Overseas Territory and city-state.
Gitega (de jure),Burundi,Africa,Bujumbura was the capital from 1962 to 2018.
Bujumbura (de facto),Burundi,Africa,Bujumbura was the capital from 1962 to 2018.
Guatemala City,Guatemala,North America,
Gustavia,Saint Barthélemy,North America,Overseas collectivity of France.
Hagåtña,Guam,Oceania,Territory of the United States.
Hamilton,Bermuda,North America,British Overseas Territory.
Hanoi,Vietnam,Asia,See also: List of historical capitals of Vietnam.
Harare,Zimbabwe,Africa,
Hargeisa,Somaliland,Africa,"De facto independent state, deemed by the UN to be de jure part of Somalia."
Havana,Cuba,North America,
Helsinki,Finland,Europe,
Honiara,Solomon Islands,Oceania,Honiara is a settlement on the island of Guadalcanal.
Islamabad,Pakistan,Asia,"Karachi served as the first capital of Pakistan from 1948. A planned capital, Islamabad, was then designated, and in 1958, as an interim measure, the capital was shifted to Rawalpindi, near to the future capital. Islamabad became capital in 1967 when its construction was completed."
Jakarta (de facto),Indonesia,Asia,The capital will be moved to Nusantara on Borneo no later than 16 August 2024. See also: Capital of Indonesia.
Nusantara,Indonesia,Asia,
Jamestown,Saint Helena,,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
Jerusalem,Israel,Asia,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Nearly all countries currently have their embassies in and around Tel Aviv. Defying the UN,[2] the United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem should have international status, as called for in the 1947 Partition Plan.[4]"
Jerusalem,Palestine,Asia,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Nearly all countries currently have their embassies in and around Tel Aviv. Defying the UN,[2] the United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem should have international status, as called for in the 1947 Partition Plan.[4]"
Ramallah (de facto),Palestine,Asia,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Nearly all countries currently have their embassies in and around Tel Aviv. Defying the UN,[2] the United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem should have international status, as called for in the 1947 Partition Plan.[4]"
Juba,South Sudan,Africa,
Kabul,Afghanistan,Asia,
Kampala,Uganda,Africa,
Kathmandu,Nepal,Asia,
Khartoum,Sudan,Africa,
Kigali,Rwanda,Africa,
King Edward Point,South Georgia and the South Sandwich Islands,,British Overseas Territory.
Kingston,Jamaica,North America,
Kingston,Norfolk Island,Oceania,External territory of Australia.
Kingstown,Saint Vincent and the Grenadines,North America,
Kinshasa,Democratic Republic of the Congo,Africa,
"Kuala Lumpur (de jure, legislative and royal)",Malaysia,Asia,
Putrajaya (administrative and judicial),Malaysia,Asia,
Kuwait City,Kuwait,Asia,
Kyiv,Ukraine,Europe,
La Paz (administrative),Bolivia,South America,"La Paz is the highest administrative capital (3,650 m) in the world, higher than Quito.[5]"
Sucre (constitutional),Bolivia,South America,
